iter	Passed	Remaining
1424	112155	45255
1425	112221	45171
1426	112290	45089
1427	112359	45006
1428	112448	44932
1429	112538	44857
1430	112607	44775
1431	112671	44691
1432	112740	44608
1433	112813	44527
1434	112885	44446
1435	112963	44367
1436	113026	44282
1437	113092	44199
1438	113163	44117
1439	113228	44033
1440	113320	43959
1441	113392	43878
1442	113453	43793
1443	113517	43708
1444	113581	43624
1445	113666	43548
1446	113736	43466
1447	113823	43391
1448	113906	43314
1449	113977	43232
1450	114041	43148
1451	114129	43073
1452	114197	42991
1453	114257	42905
1454	114331	42825
1455	114397	42741
1456	114463	42658
1457	114542	42580
1458	114608	42496
1459	114676	42414
1460	114758	42337
1461	114824	42254
1462	114910	42178
1463	114976	42095
1464	115038	42010
1465	115112	41930
1466	115196	41853
1467	115291	41781
1468	115360	41699
1469	115428	41617
1470	115507	41538
1471	115605	41467
1472	115681	41387
1473	115747	41304
1474	115820	41224
1475	115888	41142
1476	115978	41067
1477	116056	40988
1478	116117	40904
1479	116182	40820
1480	116266	40744
1481	116343	40665
1482	116410	40582
1483	116483	40502
1484	116566	40425
1485	116642	40345
1486	116720	40267
1487	116805	40191
1488	116875	40109
1489	116941	40026
1490	117028	39951
1491	117098	39870
1492	117187	39794
1493	117264	39715
1494	117334	39634
1495	117424	39560
1496	117498	39479
1497	117566	39397
1498	117651	39321
1499	117714	39238
1500	117805	39163
1501	117882	39084
1502	117944	39000
1503	118024	38922
1504	118090	38840
1505	118163	38760
1506	118234	38679
1507	118315	38601
1508	118406	38527
1509	118497	38452
1510	118569	38372
1511	118632	38288
1512	118697	38206
1513	118760	38122
1514	118833	38042
1515	118902	37960
1516	118967	37878
1517	119029	37794
1518	119104	37715
1519	119185	37637
1520	119262	37558
1521	119332	37477
1522	119408	37398
1523	119484	37319
1524	119569	37243
1525	119649	37165
1526	119711	37081
1527	119803	37007
1528	119867	36924
1529	119951	36847
1530	120027	36768
1531	120091	36685
1532	120154	36602
1533	120253	36530
1534	120316	36447
1535	120391	36368
1536	120450	36284
1537	120515	36201
1538	120604	36126
1539	120674	36045
1540	120766	35971
1541	120848	35894
1542	120916	35812
1543	120988	35732
1544	121057	35651
1545	121117	35567
1546	121204	35491
1547	121284	35413
1548	121353	35332
1549	121425	35252
1550	121503	35174
1551	121568	35092
1552	121639	35011
1553	121726	34935
1554	121793	34854
1555	121885	34779
1556	121950	34697
1557	122020	34616
1558	122093	34536
1559	122160	34455
1560	122233	34375
1561	122326	34301
1562	122400	34222
1563	122466	34140
1564	122551	34063
1565	122645	33989
1566	122738	33915
1567	122804	33833
1568	122878	33754
1569	122961	33677
1570	123026	33595
1571	123101	33516
1572	123166	33434
1573	123225	33350
1574	123287	33268
1575	123379	33193
1576	123458	33115
1577	123525	33034
1578	123600	32955
1579	123678	32876
1580	123747	32795
1581	123816	32715
1582	123879	32632
1583	123965	32556
1584	124033	32475
1585	124100	32394
1586	124171	32314
1587	124236	32232
1588	124315	32154
1589	124388	32075
1590	124480	32000
1591	124572	31925
1592	124644	31845
1593	124715	31765
1594	124781	31684
1595	124851	31604
1596	124920	31523
1597	125005	31446
1598	125073	31366
1599	125163	31290
1600	125234	31210
1601	125321	31134
1602	125409	31058
1603	125480	30979
1604	125543	30897
1605	125617	30817
1606	125684	30736
1607	125755	30656
1608	125815	30574
1609	125890	30495
1610	125963	30415
1611	126023	30333
1612	126108	30256
1613	126203	30182
1614	126292	30106
1615	126359	30026
1616	126428	29945
1617	126510	29868
1618	126586	29789
1619	126653	29708
1620	126725	29629
1621	126799	29550
1622	126872	29470
1623	126946	29391
1624	127015	29311
1625	127100	29234
1626	127192	29159
1627	127267	29080
1628	127330	28999
1629	127416	28922
1630	127492	28844
1631	127572	28766
1632	127638	28685
1633	127717	28607
1634	127795	28529
1635	127867	28449
1636	127940	28370
1637	128001	28288
1638	128063	28206
1639	128152	28131
1640	128235	28054
1641	128306	27974
1642	128396	27898
1643	128464	27818
1644	128534	27738
1645	128609	27659
1646	128676	27579
1647	128743	27498
1648	128814	27418
1649	128885	27339
1650	128969	27262
1651	129038	27182
1652	129129	27107
1653	129193	27026
1654	129260	26945
1655	129323	26864
1656	129407	26787
1657	129476	26707
1658	129543	26627
